Issue ID,Parent ID,Issue Type,Summary,Epic Name,Priority,Description,Acceptance Criteria,Labels,Depends On,Source
1,,Epic,Separate UI From Core Disaster Logic,Separate UI From Core Disaster Logic,Highest,"Make the UI render prepared state and dispatch commands only. Move disaster state mutation, simulation actions, settings persistence, diagnostics, and view-model preparation into application/core services.","UI renders prepared state only; commands and mutations live in application/core services; future testing strategy can target stable boundaries.","ndr;future-work;architecture",,"FutureWork.md; UiCoreSeparationTODO.md"
2,1,Story,Extract Disaster Commands From In-Game Panel,,Highest,"As a maintainer, I want InGameDisastersPanel to call command services instead of processing disaster state directly, so UI actions do not contain simulation logic.","DisasterCommandService exists; emergency stop is behind StopAllDisasters; reset progress is behind ResetAllDisasterProgress; enable/disable is behind ToggleDisasterEnabled; InGameDisastersPanel no longer directly uses Vehicles, Water, Terrain, or Disasters services; existing stop/reset/toggle behavior still works.","ndr;future-work;architecture",,"UiCoreSeparationTODO.md Stage 1"
3,1,Story,Introduce Disaster Panel View Models,,Highest,"As a UI maintainer, I want the in-game disaster panel to render from view models, so it does not pull domain data directly from global services.","DisasterPanelViewModel exists; DisasterRowViewModel exists; DisasterPanelController.BuildViewModel exists; InGameDisastersPanel builds rows from view model rows; DisasterRowHelper renders from DisasterRowViewModel; InGameDisastersPanel no longer reads Services.DisasterHandler.container.AllDisasters directly.","ndr;future-work;architecture","NDR-ARCH-001","UiCoreSeparationTODO.md Stage 2"
4,1,Story,Move Panel And Overlay Creation Out Of NaturalDisasterHandler,,Highest,"As a maintainer, I want NaturalDisasterHandler to stop creating concrete UI components, so core orchestration stays independent from UI implementation.","DisasterPanelUiManager exists; UI manager owns InGameDisastersPanel, toggle UIButton, and ShelterHoverDebugOverlay creation; NaturalDisasterHandler no longer stores UI components; NaturalDisasterHandler has no NaturalDisastersRenewal.UI using; LoadingExtension does not call ModSettingsScreen.UpdateUISettingsOptions directly.","ndr;future-work;architecture","NDR-ARCH-001","UiCoreSeparationTODO.md Stage 3"
5,1,Story,Move Settings Mutations Behind A Settings Controller,,High,"As a maintainer, I want settings UI callbacks to dispatch to a controller, so persistence and simulation side effects are not embedded in ModSettingsScreen.","DisasterSettingsController exists; SettingsViewModel exists; ModSettingsScreen no longer directly calls DisasterSetup.Save, DisasterHandler.ReadValuesFromFile, DisasterHandler.ResetToDefaultValues, or DisasterExtension.SetDisableDisasterFocus; UI callbacks mostly dispatch commands and refresh visuals.","ndr;future-work;architecture","NDR-ARCH-003","UiCoreSeparationTODO.md Stage 4"
6,1,Story,Extract Shelter Debug Data Provider,,Medium,"As a maintainer, I want shelter debug calculations outside the overlay UI, so the overlay only renders prepared debug data.","ShelterDebugInfoProvider exists; ShelterDebugInfoViewModel exists; ShelterHoverDebugOverlay asks provider for data; overlay no longer directly reads Buildings, Disasters, Simulation, or Terrain services; most TryGet calculation methods move out of UI.","ndr;future-work;architecture",,"UiCoreSeparationTODO.md Stage 5"
7,1,Story,Add A UI Refresh Boundary,,High,"As a maintainer, I want core/application code to refresh UI through a narrow boundary, so core does not call concrete UI screens.","IUiRefreshService or equivalent exists; application/core code does not call ModSettingsScreen.UpdateUISettingsOptions directly; application/core code does not call InGameDisastersPanel.Refresh directly; settings, localization, and panel changes refresh through the boundary.","ndr;future-work;architecture","NDR-ARCH-003; NDR-ARCH-004","UiCoreSeparationTODO.md Stage 6"
8,1,Story,Remove Remaining Global Services Usage From UI,,High,"As a maintainer, I want Source/UI to stop reaching into global game services directly, so UI remains a rendering layer.","rg -n Services\\. Source\\UI returns zero or documented exceptions; any exception explains why direct UI access is required; domain/simulation reads move to command services, view-model builders, providers, or UI managers.","ndr;future-work;architecture","NDR-ARCH-001; NDR-ARCH-002; NDR-ARCH-004; NDR-ARCH-005","UiCoreSeparationTODO.md Stage 7"
9,1,Story,Remove Cross-UI Static Coordination,,Medium,"As a maintainer, I want UI components to avoid coordinating through static methods, so ownership is explicit.","ModSettingsScreen.IsCapturingHotkey is replaced by HotkeyCaptureState or equivalent; InGameDisastersPanel no longer calls ModSettingsScreen directly; NaturalDisasterHandler no longer checks ModSettingsScreen; ModSettingsScreen static references are UI-owned or documented exceptions.","ndr;future-work;architecture","NDR-ARCH-006","UiCoreSeparationTODO.md Stage 8"
10,1,Story,Define Testing Strategy After Architecture Stabilizes,,Medium,"As a maintainer, I want a testing strategy after the architecture boundaries are stable, so tests do not lock in the temporary mixed design.","TestingStrategyTODO.md exists; plan distinguishes automated tests, manual in-game checks, and compatibility smoke tests; plan identifies what can be tested without Cities: Skylines runtime; regression flows include generated disasters, manual spawns, emergency stop, reset state, settings save/load, level load/unload, and Real Time behavior.","ndr;future-work;architecture;testing","NDR-ARCH-001 through NDR-ARCH-008","UiCoreSeparationTODO.md Stage 9"
